// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
09245	0	8.236695	0.074608	5.893999	0.034685	-0.034165	0.315766	0.013060	0.003253	0.005647	-0.291992	0.071289	-0.806396	0.082368	0.000745	0.058939	1.000000	0.000065	0.000016	0.000028	0.574290	-0.112625	0.810868	0.178701	0.983852	0.010088	-0.798910	0.139110	0.585142
09246	0	8.219058	0.082293	5.922897	0.002910	-0.020909	0.318450	0.011152	-0.000489	0.004626	-0.291992	0.068848	-0.801758	0.082190	0.000822	0.059229	1.000000	0.000056	-0.000002	0.000023	0.574293	-0.112579	0.810872	0.178586	0.983872	0.010116	-0.798933	0.139000	0.585136
09247	0	8.203701	0.100412	5.929966	-0.008674	0.000024	0.310317	0.010642	0.006029	0.004262	-0.289795	0.073486	-0.811279	0.082039	0.001003	0.059297	1.000000	0.000053	0.000030	0.000021	0.574305	-0.112481	0.810877	0.178463	0.983895	0.010084	-0.798952	0.138920	0.585129
09248	0	8.190626	0.128886	5.915206	0.001054	0.027188	0.291365	0.011511	0.002460	0.006938	-0.285400	0.073486	-0.806396	0.081907	0.001288	0.059151	1.000000	0.000058	0.000012	0.000035	0.574336	-0.112416	0.810864	0.178330	0.983919	0.010096	-0.798959	0.138803	0.585147
09249	0	8.186600	0.098245	5.900491	0.005212	-0.004146	0.279181	0.013499	0.006555	0.006388	-0.287598	0.075684	-0.802002	0.081868	0.000981	0.059002	1.000000	0.000067	0.000033	0.000032	0.574382	-0.112314	0.810846	0.178195	0.983944	0.010061	-0.798957	0.138710	0.585173
09250	0	8.202838	0.101017	5.931149	-0.008907	0.000689	0.310316	0.010561	0.005676	0.005831	-0.292236	0.075684	-0.806641	0.082030	0.001009	0.059309	1.000000	0.000053	0.000028	0.000029	0.574437	-0.112264	0.810813	0.178077	0.983965	0.010077	-0.798943	0.138599	0.585218
09251	0	8.223764	0.124728	5.917986	0.018210	0.020190	0.319818	0.011676	0.008253	0.003201	-0.292236	0.075684	-0.802002	0.082240	0.001245	0.059177	1.000000	0.000058	0.000041	0.000016	0.574485	-0.112195	0.810789	0.177984	0.983982	0.010050	-0.798930	0.138533	0.585252
09252	0	8.236018	0.096576	5.933880	0.008470	-0.006978	0.338773	0.008423	0.011047	0.008326	-0.292236	0.077881	-0.802002	0.082363	0.000967	0.059334	1.000000	0.000042	0.000055	0.000042	0.574588	-0.112128	0.810725	0.177868	0.984003	0.010032	-0.798881	0.138438	0.585341
09253	0	8.237705	0.107118	5.912889	0.028784	0.000765	0.327958	0.007356	0.012372	0.000198	-0.287842	0.077881	-0.806641	0.082381	0.001069	0.059124	1.000000	0.000037	0.000062	0.000001	0.574649	-0.112094	0.810687	0.177833	0.984010	0.010004	-0.798845	0.138417	0.585395
09254	0	8.219502	0.115135	5.942531	-0.002987	0.014028	0.330633	0.010448	0.008872	-0.001788	-0.287354	0.069092	-0.801758	0.082198	0.001148	0.059422	1.000000	0.000052	0.000044	-0.000009	0.574717	-0.112124	0.810635	0.177760	0.984022	0.010080	-0.798813	0.138305	0.585465
